danceability,mode,valence,tempo,acousticness,loudness,energy,type,speechiness,id,duration_ms,liveness,key,instrumentalness,time_signature
0.881,0,0.882,100.991,0.584,-8.34,0.745,audio_features,0.0484,5gabESIIr3fH3qjZSAQljv,220000,0.102,10,0.00587,4
0.9,1,0.87,112.061,0.221,-4.156,0.771,audio_features,0.0756,1e3pqyiPgPzqnDm8m91x5F,280000,0.0727,7,3.27e-05,4
0.768,1,0.862,133.018,0.114,-6.852,0.931,audio_features,0.0738,6BQ8arQgffLVGyJdajQSXK,270114,0.561,1,0.0117,4
0.874,1,0.581,109.028,0.0667,-5.343,0.896,audio_features,0.124,7ABOmdodkYVeTMEGPUp5aa,260000,0.0877,0,4.36e-05,4
0.835,0,0.941,146.019,0.451,-9.89,0.743,audio_features,0.0803,7cECHC74oyQeVYLrZSCjir,317753,0.203,0,0.287,4
0.712,0,0.73,105.011,0.396,-8.896,0.846,audio_features,0.0373,4bZzxStIsy6VJqhrS1rXvN,277330,0.263,10,0.063,4
0.847,0,0.836,97.036,0.141,-6.837,0.718,audio_features,0.0696,29edamB9YCxFxvndCRsY0z,343800,0.221,5,0.000247,4
0.824,0,0.877,138.056,0.271,-4.831,0.805,audio_features,0.11,5Q73f9rT1rQqB090l2mbBv,263732,0.0921,9,0.0663,4
0.702,0,0.691,130.955,0.00439,-4.119,0.66,audio_features,0.0386,0gkvyVZT7lsHCJgwwkGSRn,268889,0.118,5,0.00359,4
0.897,0,0.847,130.007,0.139,-10.489,0.575,audio_features,0.0965,399mU8PCDxm9pCuYESpUJS,311920,0.126,9,0.021,4
0.918,1,0.845,136.992,0.332,-8.866,0.573,audio_features,0.0477,47QtusVKM5U7LMXOpnZZBj,262853,0.0751,2,2.41e-05,4
0.887,0,0.9,105.035,0.651,-8.565,0.453,audio_features,0.0513,6bbSwo7GyM7DWjzicUerR9,301558,0.515,1,0.159,4
0.799,0,0.963,96.002,0.694,-5.9,0.822,audio_features,0.0951,73AMbnpUdXdJGciNl8Fsp5,228760,0.049,4,9.06e-05,4
0.821,1,0.302,138.976,0.726,-9.534,0.53,audio_features,0.0554,6Sn3Vnq051alqVUyOfljkW,268283,0.0836,8,0.121,4
0.767,1,0.666,99.973,0.139,-5.553,0.92,audio_features,0.185,0SzXNzlFdhSQKo6WMpuhIo,222583,0.0482,5,0,4
0.733,0,0.92,139.973,0.0595,-6.668,0.97,audio_features,0.0618,7q5BUruBR1v4q7sslId8oi,252013,0.0653,9,8.16e-06,4
0.899,0,0.836,104.017,0.498,-6.78,0.731,audio_features,0.0909,6fq9XbpbvLRe8ezhb1Oqde,284131,0.128,2,0.146,4
0.771,1,0.696,82.002,0.772,-7.103,0.917,audio_features,0.0979,37S2kL71k5LOmGxzJ7JLzE,304988,0.204,8,0.0447,4
0.845,0,0.851,116.005,0.125,-6.134,0.775,audio_features,0.0963,0fHjKqPAJwl4hQpI1bpLVP,342700,0.0874,11,1.26e-05,4
0.711,1,0.844,94.99,0.254,-5.445,0.695,audio_features,0.0409,0M1wDAa9lw0C2L4BWJ8sMe,319337,0.097,8,0.00181,4
0.736,0,0.852,89.993,0.144,-4.705,0.664,audio_features,0.0601,1yVEpXyOeFB0obLo5sTF8F,257412,0.122,9,6.16e-06,4
0.833,0,0.72,110.972,0.0242,-5.969,0.785,audio_features,0.0723,5t3E7MKBPXkimlzsEh7SW4,309394,0.0978,10,7.96e-06,4
0.713,0,0.749,134.979,0.0124,-4.468,0.969,audio_features,0.0718,0OM8PTgPuADb9DQPentmzK,230147,0.317,11,0.00029,4
0.827,0,0.766,99.948,0.212,-6.325,0.712,audio_features,0.0805,0gByuuGKyyaa4lisPUSP54,286760,0.0805,9,6.39e-06,4
0.673,0,0.769,104.907,0.603,-6.305,0.666,audio_features,0.05,1jFdzgGwOLWC8851A0YE1v,261880,0.0802,9,5.58e-06,4
0.773,1,0.791,89.998,0.223,-9.82,0.594,audio_features,0.0945,0JT12VeLyMX9qmY0NTICjs,245000,0.0778,11,0.00343,4
0.416,0,0.652,83.755,0.448,-9.652,0.597,audio_features,0.0684,1t97K1uasckMgABsLIs1ce,239494,0.17,10,0,4
0.866,1,0.774,124.001,0.182,-8.537,0.847,audio_features,0.0782,3xEaUi7UNC2cNOq2exkl6Q,316466,0.0654,2,0.000481,4
0.753,0,0.912,126.986,0.137,-7.41,0.949,audio_features,0.0446,1t9GSSpgtZH74nshSgywMG,275305,0.211,11,0.333,4
0.717,0,0.926,75.901,0.242,-4.725,0.631,audio_features,0.088,6w2OAGPrsUeLDAZWhipQhI,248596,0.0806,5,3.27e-06,4
0.793,0,0.664,98.966,0.45,-6.961,0.745,audio_features,0.104,5YpgO9wF8RBq6zF6jhKoVK,193425,0.178,5,1.06e-05,4
